url_length,hostname_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,ampersand_count,percent_count,digit_count,letter_count,has_https,has_ip,subdomain_count,suspicious_word_count,is_shortened,label
13,5,0,0,1,0,0,2,0,0,0,0,0,1,8,1,0,0,0,0,0
54,42,4,0,6,3,0,3,0,0,0,0,0,3,38,1,0,2,0,0,1
73,11,54,0,4,1,0,4,0,0,0,0,0,3,60,1,0,0,0,0,1
19,11,0,0,2,0,0,2,0,0,0,0,0,0,14,1,0,1,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
18,10,0,0,2,0,0,2,0,0,0,0,0,0,13,1,0,1,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
73,14,51,0,5,0,1,4,0,0,0,0,0,5,57,1,0,1,0,0,1
73,15,50,0,5,0,0,4,0,0,0,0,0,4,59,1,0,1,0,0,1
21,13,0,0,1,1,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
24,16,1,0,2,0,0,3,0,0,0,0,0,0,18,0,0,1,0,0,1
65,25,32,0,6,1,0,4,0,0,0,0,0,3,50,1,0,0,0,0,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,1,0
71,63,0,0,2,0,0,2,0,0,0,0,0,8,58,1,0,1,0,0,1
62,50,4,0,6,4,0,3,0,0,0,0,0,3,45,1,0,2,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
54,21,25,0,6,0,0,4,0,0,0,0,0,3,40,1,0,2,0,0,1
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0
25,16,1,0,1,0,0,3,0,0,0,0,0,0,20,1,0,0,0,0,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
40,24,8,0,2,1,0,3,0,0,0,0,0,0,33,1,0,1,0,0,1
70,7,55,0,4,0,0,4,0,0,0,0,0,5,56,1,0,0,0,0,1
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
